smoothed_face_out_a,smoothed_face_out_b
0.35397488,0.29833663
0.3511866,0.29431504
0.35037315,0.28934583
0.34636003,0.2852022
0.3441382,0.27995345
0.34001088,0.2748765
0.33670443,0.27087665
0.329849,0.26415777
0.3272997,0.25790858
0.32052407,0.25201032
0.310912,0.24571073
0.3027171,0.2416496
0.29551792,0.23769742
0.28982943,0.23268574
0.28371271,0.22742346
0.27665913,0.22388479
0.27013156,0.21884449
0.26520655,0.21451432
0.26091665,0.21069743
0.25499094,0.20831215
0.25427026,0.20561679
0.25018224,0.20261516
0.24654233,0.20062082
0.24361657,0.19753304
0.23984665,0.19464132
0.23815969,0.18895663
0.23382351,0.18647955
0.23000057,0.18408695
0.22663547,0.1810268
0.2225794,0.17724235
0.21997273,0.17531408
0.21876197,0.17394854
0.21646084,0.17172492
0.21360306,0.16875035
0.2090823,0.16521856
0.20300399,0.16105023
0.19939427,0.15766591
0.1927807,0.15181087
0.1895122,0.14698784
0.18362348,0.14271657
0.18170391,0.1430352
0.1782252,0.14441983
0.17891055,0.1436152
0.17721763,0.14348589
0.17669366,0.1417945
0.17623669,0.14154063
0.17780235,0.14026305
0.18295611,0.14027798
0.18076508,0.13950755
0.18065663,0.13743664
0.18033595,0.13558131
0.17808191,0.13412829
0.17549175,0.13308845
0.17459752,0.131141
0.17320034,0.13111405
0.17088851,0.13011523
0.17147523,0.12827098
0.16954926,0.1271797
0.16723305,0.12600933
0.16799769,0.12508625
0.16617095,0.12266326
0.16455603,0.12153452
0.16303128,0.120218515
0.1629038,0.11890933
0.16708766,0.11673002
0.16400158,0.116109304
0.16224961,0.11589379
0.16074558,0.115162365
0.15856244,0.11629485
0.15779342,0.11520054
0.15457295,0.115471326
0.15320162,0.114921205
0.15308416,0.1136076
0.15697317,0.11264682
0.1593367,0.11179544
0.1619163,0.111242965
0.16248584,0.11088749
0.16188428,0.10993902
0.15997031,0.11101853
0.15707079,0.10886701
0.15547816,0.10836068
0.15327786,0.107108526
0.15181531,0.10597947
0.149277,0.1059359
0.14722526,0.10566405
0.14522733,0.10593833
0.14495924,0.10458219
0.1437352,0.104338646
0.142141,0.102575704
0.14084798,0.101466924
0.14218795,0.10037259
0.13998182,0.0999685
0.14099701,0.099664465
0.13924532,0.099696115
0.13855886,0.09784336
0.13644746,0.098822676
0.13497622,0.09895516
0.13465945,0.098150976
0.13219503,0.09767567
0.13231803,0.09654046
0.13131611,0.096137784
0.13093731,0.095884226
0.12917791,0.096024945
0.1281862,0.096688665
0.12892772,0.096249394
0.12699945,0.09521734
0.12593362,0.09453963
0.1256152,0.09350467
0.12568006,0.09199889
0.12590614,0.09177134
