batch,elapsed,end,iterations,rate,session,start
16,00:19:26,01/23/25 14:40:49,760,20.9,1,01/23/25 14:21:23
16,00:14:10,01/23/25 15:10:36,568,21.4,2,01/23/25 14:56:25
16,00:13:17,01/23/25 15:38:01,538,21.6,3,01/23/25 15:24:44
16,00:06:21,01/23/25 15:47:24,256,21.5,4,01/23/25 15:41:02
16,00:09:49,01/23/25 16:22:07,650,35.3,5,01/23/25 16:12:17
16,00:14:04,01/23/25 17:09:07,549,20.8,6,01/23/25 16:55:02
16,00:25:06,01/23/25 17:49:32,1018,21.6,7,01/23/25 17:24:26
16,00:15:42,01/23/25 21:29:57,432,14.7,8,01/23/25 21:14:14
16,00:00:04,01/24/25 10:10:48,3,24.0,10,01/24/25 10:10:43
16,00:12:08,01/24/25 10:22:51,500,22.0,10,01/24/25 10:10:43
16,00:02:35,01/24/25 11:32:27,106,21.9,12,01/24/25 11:29:52
16,00:05:08,01/24/25 12:05:40,215,22.3,13,01/24/25 12:00:31
16,00:12:08,01/24/25 12:12:39,500,22.0,13,01/24/25 12:00:31
16,00:11:16,01/24/25 15:13:36,461,21.8,15,01/24/25 15:02:19
16,02:41:14,01/24/25 15:13:36,6556,21.7,Total,01/23/25 14:21:23
